['CRMD', 'CorMedix Inc', 'After Market Close', '-0.14', '-', '-']
['ITCI', 'Intra-Cellular Therapies Inc', 'Before Market Open', '-0.91', '-', '-']
['HVT', 'Haverty Furniture Companies Inc', 'After Market Close', '-0.49', '-', '-']
['RCL', 'Royal Caribbean Cruises Ltd', 'Before Market Open', '-4.82', '-', '-']
['CELC', 'Celcuity Inc', 'After Market Close', '-0.18', '-', '-']
['ON', 'ON Semiconductor Corp', 'Before Market Open', '0.02', '-', '-']
['EMMS', 'Emmis Communications Corp', 'Before Market Open', '-', '-', '-']
['CXDO', 'Crexendo Inc', 'TAS', '0.02', '-', '-']
['IART', 'Integra Lifesciences Holdings Corp', 'After Market Close', '0.1', '-', '-']
['GARS', 'Garrison Capital Inc', 'After Market Close', '0.16', '-', '-']
['OXY', 'Occidental Petroleum Corp', 'After Market Close', '-1.68', '-', '-']
['GO', 'Grocery Outlet Holding Corp', 'After Market Close', '0.23', '-', '-']
['CARA', 'Cara Therapeutics Inc', 'TAS', '-0.67', '-', '-']
['CIH', 'China Index Holdings Ltd', 'TAS', '-', '-', '-']
['CIH', 'China Index Holdings Ltd', 'Before Market Open', '-', '-', '-']
['FSK', 'FS KKR Capital Corp', 'After Market Close', '0.63', '-', '-']
['CBAY', 'Cymabay Therapeutics Inc', 'TAS', '-0.24', '-', '-']
['CCXI', 'ChemoCentryx Inc', 'After Market Close', '-0.34', '-', '-']
['CEIX', 'CONSOL Energy Inc', 'TAS', '-0.82', '-', '-']
['CHMI', 'Cherry Hill Mortgage Investment Corp', 'After Market Close', '0.28', '-', '-']
['RESI', 'Front Yard Residential Corp', 'Before Market Open', '-0.32', '-', '-']
['PRTS', 'Carparts.Com Inc', 'After Market Close', '-', '-', '-']
['PRTS', 'Carparts.Com Inc', 'TAS', '-', '-', '-']
